Rank,Date,Movie,URL,Gross
1,"Oct 4, 2019",Joker,/movie/Joker-(2019)#tab=summary,"$96,202,337"
2,"Oct 1, 2021",Venom: Let There be Carnage,/movie/Venom-Let-There-be-Carnage#tab=summary,"$90,033,210"
3,"Oct 5, 2018",Venom,/movie/Venom-(2018)#tab=summary,"$80,255,756"
4,"Oct 19, 2018",Halloween,/movie/Halloween-(2018)#tab=summary,"$76,221,545"
5,"Oct 21, 2022",Black Adam,/movie/Black-Adam-(2022)#tab=summary,"$67,004,323"
6,"Oct 11, 2019",Joker,/movie/Joker-(2019)#tab=summary,"$55,861,403"
7,"Oct 4, 2013",Gravity,/movie/Gravity#tab=summary,"$55,785,112"
8,"Oct 8, 2021",No Time to Die,/movie/No-Time-to-Die-(2021)#tab=summary,"$55,225,007"
9,"Oct 2, 2015",The Martian,/movie/Martian-The#tab=summary,"$54,308,575"
10,"Oct 21, 2011",Paranormal Activity 3,/movie/Paranormal-Activity-3#tab=summary,"$52,568,183"
11,"Oct 15, 2010",Jackass 3D,/movie/Jackass-3D#tab=summary,"$50,353,641"
12,"Oct 5, 2012",Taken 2,/movie/Taken-2#tab=summary,"$49,514,769"
13,"Oct 15, 2021",Halloween Kills,/movie/Halloween-Kills-(2021)#tab=summary,"$49,404,980"
14,"Oct 24, 2003",Scary Movie 3,/movie/Scary-Movie-3#tab=summary,"$48,113,770"
15,"Oct 1, 2004",Shark Tale,/movie/Shark-Tale#tab=summary,"$47,604,606"
16,"Oct 11, 2013",Gravity,/movie/Gravity#tab=summary,"$43,188,256"
17,"Oct 5, 2018",A Star is Born,/movie/Star-is-Born-A-(2018)#tab=summary,"$42,908,051"
18,"Oct 24, 2008",High School Musical 3: Senior Year,/movie/High-School-Musical-3-Senior-Year#tab=summary,"$42,030,184"
19,"Oct 22, 2021",Dune,/movie/Dune-(2020)#tab=summary,"$41,011,174"
20,"Oct 22, 2010",Paranormal Activity 2,/movie/Paranormal-Activity-2-(2010)#tab=summary,"$40,678,424"
21,"Oct 14, 2022",Halloween Ends,/movie/Halloween-Ends-(2022)#tab=summary,"$40,050,355"
22,"Oct 22, 2004",The Grudge,/movie/Grudge-The-(2004)#tab=summary,"$39,128,715"
23,"Oct 3, 2014",Gone Girl,/movie/Gone-Girl#tab=summary,"$37,513,109"
24,"Oct 3, 2014",Annabelle,/movie/Annabelle#tab=summary,"$37,134,255"
25,"Oct 9, 2015",The Martian,/movie/Martian-The#tab=summary,"$37,005,266"
26,"Oct 18, 2019",Maleficent: Mistress of Evil,/movie/Maleficent-Mistress-of-Evil-(2019)#tab=summary,"$36,948,713"
27,"Oct 4, 2002",Red Dragon,/movie/Red-Dragon#tab=summary,"$36,540,945"
28,"Oct 12, 2018",Venom,/movie/Venom-(2018)#tab=summary,"$35,006,107"
29,"Oct 9, 2009",Couples Retreat,/movie/Couples-Retreat#tab=summary,"$34,286,740"
30,"Oct 28, 2011",Puss in Boots,/movie/Puss-in-Boots#tab=summary,"$34,077,439"
31,"Oct 27, 2006",Saw III,/movie/Saw-III-(2006)#tab=summary,"$33,610,391"
