Timestamp,Market,Taker,Maker,Type,Outcome,Direction,Amount,Shares,Price,,
"15/10/2023, 16:21:04",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0x3cf3e8d5,Sell,Yes,❌,$4.11,111,0.037,📖,Tx
"15/10/2023, 16:21:04",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$203.89,211,0.9663,📖,Tx
"15/10/2023, 16:21:04",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0x98d7fea6,Buy,No,❌,$97.00,100,0.97,📖,Tx
"15/10/2023, 16:20:24",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0x3922df6b,Sell,Yes,❌,$1.65,29.99,0.055,📖,Tx
"15/10/2023, 16:20:24",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$28.34,29.99,0.945,📖,Tx
"15/10/2023, 16:14:44",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0xe179320f,Buy,No,❌,$154.23,163.38,0.944,📖,Tx
"15/10/2023, 16:14:44",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$154.23,163.38,0.944,📖,Tx
"15/10/2023, 16:03:18",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$3.24,49.82,0.065,📖,Tx
"15/10/2023, 16:03:18",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0x8247f6d6,Sell,No,✅,$46.58,49.82,0.935,📖,Tx
"15/10/2023, 16:02:22",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x8247f6d6,0x9a3c217f,Sell,Yes,❌,$33.28,512,0.065,📖,Tx
"15/10/2023, 16:02:04",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0xe25b9180,0x9a3c217f,Sell,Yes,❌,$2.86,22,0.13,📖,Tx
"15/10/2023, 16:02:04",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0xe25b9180,0x9a3c217f,Sell,Yes,❌,$8.60,86,0.1,📖,Tx
"15/10/2023, 16:02:04",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0xe25b9180,0x9a3c217f,Sell,Yes,❌,$3.74,34,0.11,📖,Tx
"15/10/2023, 16:02:04",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0xe25b9180,0x9a3c217f,Sell,Yes,❌,$23.50,293.7,0.08,📖,Tx
"15/10/2023, 16:02:04",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0xe25b9180,0x9a3c217f,Sell,Yes,❌,$6.00,50,0.12,📖,Tx
"15/10/2023, 15:59:12",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x7e3c4e57,0x9a3c217f,Sell,No,✅,$13.18,18.18,0.725,📖,Tx
"15/10/2023, 15:31:09",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0xe25b9180,0x9a3c217f,Sell,Yes,❌,$3.22,23,0.14,📖,Tx
"15/10/2023, 15:25:11",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0xe25b9180,0x9a3c217f,Sell,Yes,❌,$29.04,242,0.12,📖,Tx
"15/10/2023, 15:22:10",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x033dc6e3,0x9a3c217f,Sell,Yes,❌,$27.72,231,0.12,📖,Tx
"15/10/2023, 15:19:45",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0x9d84ce03,Sell,No,✅,$208.75,250,0.835,📖,Tx
"15/10/2023, 15:19:45",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$41.25,250,0.165,📖,Tx
"15/10/2023, 14:14:18",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0xea034373,0x9a3c217f,Sell,Yes,❌,$2.40,24,0.1,📖,Tx
"15/10/2023, 14:14:18",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0xea034373,0x9a3c217f,Sell,Yes,❌,$17.64,196.04,0.09,📖,Tx
"03/10/2023, 20:49:31",Will 'Taylor Swift: The Eras Tour' movie gross over $125m opening weekend?,0x9a3c217f,0x21589505,Sell,Yes,❌,$97.93,137.93,0.71,📖,Tx
"03/10/2023, 20:49:31",Will 'Taylor Swift: The Eras Tour' movie gross over $125m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$40.00,137.93,0.29,📖,Tx
"03/10/2023, 19:49:19",Will Kevin McCarthy remain Speaker through Oct 15?,0x4268070c,0x9a3c217f,Sell,Yes,❌,$11.20,80,0.14,📖,Tx
